CustomerName,OutputExcelFolder,DBLocation,WorkingHours,WorkingDays,BaseSurveyors,POR,PORYear,PORStartingDate,POREndingDate,IsActive,SunriseHour,SunsetHour
Gas Networks Ireland,385063165916,EU1,8,6,0,,2026,01-04-2026,31-03-2027,1,7,19
Wales and West Utilities,390960004101,EU1,8,5,0,,2026,01-04-2026,31-03-2027,1,7,19
Cadent,375691804502,EU2,7,7,25,127780,2026,01-04-2026,31-03-2027,1,6,20
PSG,402825591696,EU1,8,5,0,5300,2026,01-04-2026,31-12-2026,1,7,19
